Date,AAPL,AMZN,MSFT
2023-07-03,192.4600067138672,130.22000122070312,337.989990234375
2023-07-05,191.3300018310547,130.3800048828125,338.1499938964844
2023-07-06,191.80999755859375,128.36000061035156,341.2699890136719
2023-07-07,190.67999267578125,129.77999877929688,337.2200012207031
2023-07-10,188.61000061035156,127.12999725341797,331.8299865722656
2023-07-11,188.0800018310547,128.77999877929688,332.4700012207031
2023-07-12,189.77000427246094,130.8000030517578,337.20001220703125
2023-07-13,190.5399932861328,134.3000030517578,342.6600036621094
2023-07-14,190.69000244140625,134.67999267578125,345.239990234375
2023-07-17,193.99000549316406,133.55999755859375,345.7300109863281
2023-07-18,193.72999572753906,132.8300018310547,359.489990234375
2023-07-19,195.10000610351562,135.36000061035156,355.0799865722656
2023-07-20,193.1300048828125,129.9600067138672,346.8699951171875
2023-07-21,191.94000244140625,130.0,343.7699890136719
2023-07-24,192.75,128.8000030517578,345.1099853515625
2023-07-25,193.6199951171875,129.1300048828125,350.9800109863281
2023-07-26,194.5,128.14999389648438,337.7699890136719
2023-07-27,193.22000122070312,128.25,330.7200012207031
2023-07-28,195.8300018310547,132.2100067138672,338.3699951171875
